radius_m,k,scenario,n_candidate,coverage_count,coverage_rate,avg_nearest_distance_m,max_nearest_distance_m
100,5,bus_stop_only,28,129,0.1677503250975292,263.0217430804885,1042.5414238442625
100,5,road_nodes,400,187,0.2431729518855656,229.29161636321876,1042.5414238442625
100,10,bus_stop_only,28,173,0.2249674902470741,217.76884280849177,851.6953565566074
100,10,road_nodes,400,307,0.3992197659297789,176.64274422916216,1042.5414238442625
100,15,bus_stop_only,28,206,0.2678803641092327,168.15060936557697,657.4486956829234
100,15,road_nodes,400,411,0.5344603381014305,148.42178178052004,1021.266335000426
100,20,bus_stop_only,28,224,0.2912873862158647,152.35027895280336,384.3731630243111
100,20,road_nodes,400,487,0.6332899869960988,135.6487068924704,1021.266335000426
150,5,bus_stop_only,28,222,0.2886866059817945,256.9660961309418,1042.5414238442625
150,5,road_nodes,400,328,0.4265279583875163,241.9520148184672,1050.860964837202
150,10,bus_stop_only,28,308,0.400520156046814,203.9213008607477,851.6953565566074
150,10,road_nodes,400,503,0.6540962288686606,171.18703498936662,1050.860964837202
150,15,bus_stop_only,28,357,0.4642392717815344,161.6936439912644,410.8801365076501
150,15,road_nodes,400,592,0.7698309492847855,123.3510715272414,644.28325617265
150,20,bus_stop_only,28,390,0.5071521456436932,147.86271126497513,332.66501601046485
150,20,road_nodes,400,659,0.8569570871261378,104.5025582033974,351.7283187700299
200,5,bus_stop_only,28,346,0.4499349804941482,252.1341927179361,1042.5414238442625
200,5,road_nodes,400,452,0.58777633289987,243.94668065265432,975.1992473539552
200,10,bus_stop_only,28,480,0.6241872561768531,175.19432897303193,527.1624823885636
200,10,road_nodes,400,666,0.8660598179453837,143.24545174636253,482.72055654999593
200,15,bus_stop_only,28,543,0.706111833550065,155.36693514683367,332.66501601046485
200,15,road_nodes,400,732,0.951885565669701,126.36814064717872,333.6518385570933
200,20,bus_stop_only,28,575,0.7477243172951885,147.4109309392033,332.66501601046485
200,20,road_nodes,400,760,0.988296488946684,114.88258423137675,278.05583322828085
