k,weight_scheme,coverage_count,coverage_rate,weighted_coverage_value,weighted_coverage_rate,priority_points_covered,priority_coverage_rate,selected_overlap_count,selected_overlap_rate
5,unweighted,328,0.4265279583875163,328.0,0.4265279583875163,5,0.13513513513513514,5,1.0
10,unweighted,503,0.6540962288686606,503.0,0.6540962288686606,14,0.3783783783783784,10,1.0
15,unweighted,592,0.7698309492847855,592.0,0.7698309492847855,24,0.6486486486486487,15,1.0
20,unweighted,659,0.8569570871261378,659.0,0.8569570871261378,30,0.8108108108108109,20,1.0
5,priority_mild,328,0.4265279583875163,338.0,0.40870616686819833,6,0.16216216216216217,2,0.4
10,priority_mild,503,0.6540962288686606,528.0,0.6384522370012092,15,0.40540540540540543,4,0.4
15,priority_mild,598,0.7776332899869961,633.0,0.7654171704957679,23,0.6216216216216216,8,0.5333
20,priority_mild,661,0.8595578673602081,711.0,0.8597339782345829,32,0.8648648648648649,12,0.6
5,priority_strong,310,0.40312093628088425,377.0,0.37737737737737737,10,0.2702702702702703,1,0.2
10,priority_strong,471,0.6124837451235371,606.0,0.6066066066066066,20,0.5405405405405406,2,0.2
15,priority_strong,574,0.7464239271781534,753.0,0.7537537537537538,31,0.8378378378378378,4,0.2667
20,priority_strong,665,0.8647594278283485,862.0,0.8628628628628628,34,0.918918918918919,7,0.35
